LF0202RP                              2.00.01.080    MLF\LF02                      12/02/20  11:48:35
BTB920AA                              2.00.00.012    lf0202rp                      12/02/20  11:48:35
CDCFGFISCAL                           2.00.00.004    lf0202rp                      12/02/20  11:48:35
CDCFGFISCAL-1                         2.00.00.005    cdcfgfis                      12/02/20  11:48:35
CDCFGFISCAL-2                         2.00.00.004    cdcfgfis                      12/02/20  11:48:35
CDCFGFISCAL-3                         2.00.00.004    cdcfgfis                      12/02/20  11:48:35
CDCFGFISCAL-4                         2.00.00.004    cdcfgfis                      12/02/20  11:48:35
CDCFGFISCAL-5                         2.00.00.004    cdcfgfis                      12/02/20  11:48:35
UT-ENCODE                             2.00.00.009    ut-liter                      12/02/20  11:48:36
UT-TRFRRP                             2.00.00.008    lf0202rp                      12/02/20  11:48:36
BTB901ZO                              2.00.00.005    ut-trfrr                      12/02/20  11:48:36
UT-VALIDA-FACELIFT                    3.00.00.001    btb901zo                      12/02/20  11:48:36
UT-TRFRRP                             2.00.00.008    lf0202rp                      12/02/20  11:48:36
UT-TRFRRP                             2.00.00.008    lf0202rp                      12/02/20  11:48:36
UT-TRFRRP                             2.00.00.008    lf0202rp                      12/02/20  11:48:36
UT-ACOMP                              2.00.00.003    lf0202rp                      12/02/20  11:48:37
LFAPI074                              2.00.00.048    lf0202rp                      12/02/20  11:48:37
CDAPI704                              2.00.00.013    lfapi074                      12/02/20  11:48:37
CDAPI1001                             2.00.00.014    lf0202rp                      12/02/20  11:48:37
BODI538                               2.00.00.060    lf0202rp                      12/02/20  11:48:37
BTBSECURITY                           3.00.00.001    bodi538                       12/02/20  11:48:37
MEN901ZA                              2.00.00.009    btbsecur                      12/02/20  11:48:37
BTB918ZB                              2.00.00.002    bodi538                       12/02/20  11:48:37
LFAPI137                              2.00.00.036    lf0202rp                      12/02/20  11:48:37
CDAPI704                              2.00.00.013    lfapi137                      12/02/20  11:48:37
LFAPI072                              2.00.00.035    lf0202rp                      12/02/20  11:48:37
CDAPI704                              2.00.00.013    lfapi072                      12/02/20  11:48:37
LF0202D                               2.00.00.013    lf0202rp                      12/02/20  11:48:37
LF0203GAC                             2.00.00.001    lf0202d                       12/02/20  11:48:37
LF0203GAL                             2.00.00.001    lf0202d                       12/02/20  11:48:37
LF0203GAM                             2.00.00.001    lf0202d                       12/02/20  11:48:37
LF0203GAP                             2.00.00.001    lf0202d                       12/02/20  11:48:37
LF0203GBA                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GCE                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GDF                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GES                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GGO                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GMA                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GMG                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GMS                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GMT                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GPA                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GPB                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GPE                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GPI                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GPR                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GRJ                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GRN                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GRO                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GRR                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GRS                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GSC                             2.00.00.002    lf0202d                       12/02/20  11:48:38
LF0203GSE                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GSP                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0203GTO                             2.00.00.001    lf0202d                       12/02/20  11:48:38
LF0202A                               2.00.01.091    lf0202rp                      12/02/20  11:48:39
LF0202B                               2.00.01.083    lf0202rp                      12/02/20  11:48:39
LF0202C                               2.00.00.016    lf0202rp                      12/02/20  11:48:39
     PonLFAPI074 - 02.a - b-dwf-estab.cod-estab = 1                                                         
     PonLFAPI074 - 02.b - b-dwf-estab.cod-estab-centrdor = 1                                                
     Pon?                                                                                                   
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:48:39
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:48:39
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:48:39
tdfi00774                             2.00.00.000    lf0202rp                      12/02/20  11:48:39
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:48:39
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00775                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00776                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
tdfi00777                             2.00.00.000    lf0202rp                      12/02/20  11:48:40
UT-PERC                               3.00.00.002    lf0202rp                      12/02/20  11:48:40
CDAPI704                              2.00.00.013    lf0202a                       12/02/20  11:48:40
LFAPI072                              2.00.00.035    lf0202a                       12/02/20  11:48:40
CDAPI704                              2.00.00.013    lfapi072                      12/02/20  11:48:40
CDAPI704                              2.00.00.013    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
LFAPI072                              2.00.00.035    lf0202b                       12/02/20  11:48:41
CDAPI704                              2.00.00.013    lfapi072                      12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:41
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:42
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:43
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:43
TDFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TCFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TWFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TDFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TCFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TWFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TDFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TCFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
TWFI00573                             2.00.00.003    lf0202b                       12/02/20  11:48:43
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:44
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:45
CD2712                                2.00.00.001    lf0202b                       12/02/20  11:48:45
